Mixture	B.cell	Dendritic.cell	Macrophage	NK.cell	T.cell	Basophil	Monocyte	Neutrophil	P-value	Correlation	RMSE
Sim222	0	0	0	0.224455534151276	0.358997467464757	0.303041641798749	0.113505356585218	0	0	0.156416748882876	1.10389863712537
Sim223	0.104906560951755	0.0112346842155019	0	0	0.561451073292523	0.259785609144339	0.0626220723958804	0	0	0.195398950308359	1.0838227964157
Sim224	0.309837230579509	0.0557016600560308	0.216139325195324	0.00155638390091165	0	0	0.210088598795993	0.206676801472232	0	0.167844430390016	1.09851937541027
Sim225	0.352065195460215	0.0133915517090993	0.24023448148883	0	0.049070151695749	0.106314187243522	0.238924432402585	0	0	0.151064033202203	1.10362135752964
Sim226	0.125220793457153	0	0.0435489878203161	0	0.468249643727781	0.151861598921139	0.097488579691562	0.113630396382049	0	-0.0306469995786624	1.2064885117848
Sim227	0	0.34709358522642	0.115701137301437	0.0254533639635105	0.0776388547546124	0	0.178886218731516	0.255226840022505	0	0.162777442928837	1.11123824132677
Sim228	0.0387143759771917	0.079343291880243	0.0343671506461531	0.234697543521619	0.0926014488974722	0.462683504513808	0.0575926845635135	0	0	0.285726744985747	1.03284768937267
Sim229	0.141712362320178	0.252567339392519	0.153142902846679	0	0.215777875871668	0	0	0.236799519568955	0	0.210660309692359	1.10916828878634
Sim230	0.226782794712681	0.0138344931762371	0	0	0.3187128789474	0.114857699082156	0.0423606425377811	0.283451491543745	0	0.166185159878139	1.10515257886512
Sim231	0.152399294400267	0.0275945359395137	0	0.389226002567916	0.130600837061044	0	0.260763049290282	0.0394162807409767	0	0.0436010137681067	1.19682539357994
Sim232	0.0118981587657888	0	0	0	0.662686701452278	0.256538440719139	0.0688766990627946	0	0	0.233470498308801	1.06237587889676
Sim233	0.134507070488632	0	0.111644454351859	0.453900664856911	0	0	0.170919193091167	0.129028617211431	0	0.234965987717108	1.09239170707103
Sim234	0.38067899368219	0.0964839760309105	0.30097123726322	0	0	0.179589475407002	0.0422763176166766	0	0	0.209715352656514	1.08961481491341
Sim235	0.0601590399721387	0	0.448781201854457	0	0.252114448459005	0	0	0.238945309714399	0	0.161419223734504	1.15698711517388
Sim236	0	0	0.209775717896483	0	0.533082759546595	0.0527261587397733	0	0.20441536381715	0	0.141655995090862	1.1437197803714
Sim237	0.00390710081117451	0	0.146571167285346	0.209398744995075	0.350879567687341	0.0656604333431483	0	0.223582985877916	0	0.108241324802128	1.17315647949282
Sim238	0.174474943163424	0.0855565212576493	0.298074467303488	0	0.300934373878913	0.140959694396526	0	0	0	0.126082276053422	1.16402813452971
Sim239	0	0.150706525922228	0	0.161067042299521	0	0.58973753425819	0.0984888975200608	0	0	0.23138301821194	1.10374524921314
Sim240	0	0	0.132634596940451	0	0.392382458904498	0.387758083310391	0	0.0872248608446606	0	0.0769221861179192	1.16059293586813
Sim241	0.399126223730057	0	0.364208534277404	0	0.0637202149354544	0.172945027057085	0	0	0	0.228189052315194	1.08983660874094
Sim242	0.0624220336187902	0.478359320030794	0.199792403063272	0	0	0.121700170921044	0.0618059246316526	0.0759201477344473	0	0.111578920901596	1.17006525724709
Sim243	0	0.0295770136473638	0	0.027098231119192	0.60951251031095	0.111390699010807	0.149735860718283	0.0726856851934044	0	0.137630869555839	1.11664243513202
Sim244	0.319257944393492	0.381233149493203	0	0	0	0.24647222742672	0.0530366786865862	0	0	0.101675264492625	1.14856848706331
Sim245	0.169303207829339	0	0.0125310907458405	0	0.450252994837135	0.187397541495672	0.180515165092014	0	0	0.200336165597321	1.0699017735121
Sim246	0.540241483950627	0.0763605533349508	0.0377110786114001	0.0496331605493116	0	0	0.0534044621171263	0.242649261436584	0	0.221523463888805	1.08450435763807
Sim247	0.66224940280249	0.0423902284851948	0	0.0763363658450281	0	0.116721884097586	0.102302118769701	0	0	0.0845748790599132	1.16398934955473
Sim248	0.420738891910128	0	0.0232838208282244	0	0.341296441573365	0	0.214680845688282	0	0	0.158885628103575	1.11883931923045
Sim249	0	0.273054137025062	0	0	0.479303453021167	0	0.138984915496887	0.108657494456885	0	0.29167514159681	1.03991363393161
Sim250	0.582179391811635	0	0.205633503502751	0	0	0.159209513523567	0.052977591162047	0	0	0.0845344586741585	1.16108684065147
Sim251	0.246014317914462	0.0743929283994101	0	0.137363166883017	0	0.264599047332205	0.277630539470906	0	0	0.015029643184009	1.17056975508411
Sim252	0.34327168452954	0	0.187038193886823	0	0.110665332318214	0.359024789265423	0	0	0	0.246427266562274	1.05107988051774
Sim253	0	0.179500320645923	0	0.274420090374489	0.106158670188048	0.0841163947437101	0.26180329994014	0.0940012241076897	0	0.203103538120939	1.07247966745363
Sim254	0	0.160951523850981	0.084377235080676	0.201817363836018	0.218219906473198	0.241706258649384	0	0.0929277121097431	0	0.176791087715377	1.10810794032344
Sim255	0.0808726052105205	0	0.173213802677381	0.0231767290696449	0.178869970290666	0.0332800002235892	0.510586892528198	0	0	0.136014784372703	1.12165344217486
Sim256	0	0.257840308936383	0.199795283138399	0	0.328527485420553	0.083292224409543	0.130544698095123	0	0	0.0446567314279545	1.19789585291915
Sim257	0	0.0305682787868681	0	0	0.822262861930131	0.0209971319231342	0.126171727359866	0	0	0.0925187588522584	1.19192297286372
Sim258	0.542946826701914	0	0	0	0.0649112857864593	0	0.0607656173685581	0.331376270143069	0	0.224875178852748	1.07639650725396
Sim259	0.0706740663433007	0.17199802653622	0.0996429082441991	0.189284425179668	0	0	0.300475504417962	0.167925069278651	0	0.23245855678495	1.05557859760028
Sim260	0.150462978083185	0.0631967828791713	0.0875878016472216	0.119393741094479	0	0.324240362428158	0.255118333867785	0	0	0.131639900414837	1.11731560007623
Sim261	0.350490869932531	0	0.081172691956231	0	0.248025853114952	0.114404141916969	0.205906443079317	0	0	0.0839544991271265	1.13747140985633
Sim262	0	0.185334600563112	0.0850476363466193	0	0.382499019176866	0	0	0.347118743913403	0	-0.0386452087173795	1.24832003598277
Sim263	0.118217232734113	0.0282927914162217	0	0.00114934295121368	0	0.248337386679401	0	0.604003246219051	0	0.110661102830959	1.24794764903653
Sim264	0.232925606080004	0	0.149961530376727	0	0.372306732043852	0.244806131499417	0	0	0	0.0991121428878647	1.14925830585368
Sim265	0.556272919757383	0	0.0313549682699243	0.0437430070838643	0	0.31003210239521	0.0585970024936183	0	0	0.0586852497455049	1.15670993579743
Sim266	0	0.279121789318842	0.271977688423503	0	0.0653493171185937	0	0	0.383551205139061	0	0.211648625924712	1.11127680500585
Sim267	0.0543073421820647	0.176282571636956	0.00427655797524032	0	0.387107346079148	0.378026182126591	0	0	0	0.0904683720362103	1.14872271284459
Sim268	0.142281044420881	0	0	0	0.309630801251027	0.246293360397854	0.0421476190296506	0.259647174900588	0	0.306743628492824	1.02072498062292
Sim269	0.170203396903118	0	0.0517715847150334	0.106055766664477	0.138502029952802	0.121726597001649	0.41174062476292	0	0	0.109753592643577	1.11902968361829
Sim270	0	0.114475812460063	0	0	0.633986629562826	0.0593810465621906	0	0.192156511414921	0	0.284257758565619	1.05248101950077
Sim271	0.270287698230169	0	0.0560529594547222	0.554133322192269	0	0.0458580991197	0	0.0736679210031391	0	0.214325763067239	1.1785717939908
Sim272	0.518539620528183	0.00098840725235925	0.0766052079541946	0	0.159241357837342	0.207162877321827	0.0374625291060935	0	0	0.083963883503007	1.15479359528344
Sim273	0	0	0.308988496202896	0	0.390522240779094	0.30048926301801	0	0	0	0.055876493255386	1.1766099841306
Sim274	0.227321577636692	0.032696488896769	0.368319768586583	0.166409197021238	0	0.205252967858719	0	0	0	0.0674374948648853	1.19602766370252
Sim275	0	0.0131844203528897	0.00340205862380526	0.359007264858645	0.168891038686699	0.137517502769241	0.31799771470872	0	0	0.269443598613435	1.03059113008291
Sim276	0.0566851652365258	0	0.169211423169715	0.163080650745948	0.0707585861859489	0.205516461489683	0.334747713172179	0	0	0.175894509800589	1.08727933395905
Sim277	0.155859349573762	0.00851565897781932	0	0	0.316092843836819	0.340935153107077	0.178596994504522	0	0	0.125308539109601	1.11843684994154
Sim278	0	0	0.0546129824669557	0.236738445662903	0.0492670287218813	0.536283262258716	0	0.123098280889544	0	0.354634155175751	1.0140012135202
Sim279	0.321660735569113	0	0	0	0.155649404274399	0	0.0520160050814036	0.470673855075084	0	0.237753999151351	1.07456303224416
Sim280	0	0.0857035645001407	0.390068510930931	0	0.260144681074738	0	0	0.26408324349419	0	0.193132311507811	1.13014923317361
Sim281	0.216198101581302	0.00353446881463255	0.00417836880152537	0	0.300751631435528	0.226649127157018	0.248688302209993	0	0	0.207729212707202	1.06324650957524
Sim282	0	0.0606430183731184	0	0.362266064706046	0.334683383499688	0.159053117544168	0.0833544158769799	0	0	0.218128907976398	1.10366001501736
Sim283	0.481778286294048	0.0168274403354478	0.0660707031991536	0	0	0.208403022090703	0	0.226920548080647	0	0.177906755056394	1.09955018530794
Sim284	0	0.0970725627039979	0	0	0.497090130359638	0.0870159628523633	0	0.318821344084001	0	0.153962919797689	1.12308485851718
Sim285	0.264223125512	0	0.256628526768625	0.0281412760712738	0	0.175739463943362	0.27526760770474	0	0	0.210419357456178	1.06800843452814
Sim286	0.0119889864799182	0.131547697196416	0	0.246738057431971	0.488719751483287	0	0.121005507408408	0	0	0.283613842236176	1.08898108582804
Sim287	0.0977574515326475	0	0	0	0.185158590228072	0.134858895219231	0.229767648681911	0.352457414338138	0	0.254981437172253	1.06490165748235
Sim288	0.0527769860851633	0.135253832095524	0	0.284728218878789	0.196863435411069	0.00462916481731972	0.325748362712136	0	0	0.213714166298975	1.07881469824247
Sim289	0	0	0.126844110150982	0	0.404436968834816	0.336588780495122	0.13213014051908	0	0	0.159616549484433	1.09849495683105
Sim290	0	0.219845502015002	0.0540210288973598	0.34514277653887	0.14766345231865	0.0196556714943476	0.120090165923426	0.0935814028123445	0	0.178955788769054	1.13940404022994
Sim291	0.329112570856328	0	0.0383870346864753	0.153417765917459	0.0467645798102408	0.287239435185367	0.14507861354413	0	0	0.201882225077074	1.06764960646141
Sim292	0.184658566108737	0.14945575793902	0	0.066935862416215	0	0.219653172727896	0.379296640808133	0	0	0.179984283316772	1.08997443584492
Sim293	0	0.0290601475282067	0	0.0463088827223575	0.556306595415831	0.319371443340263	0	0.048952930993341	0	0.114398988814957	1.1380796553445
Sim294	0	0.0810305658465027	0.182008215554835	0.090321878587204	0.34054748930052	0	0.0174594747512079	0.28863237595973	0	0.215368238506259	1.09996686339567
Sim295	0.181718041321485	0	0	0.196081231349462	0.275959713419797	0.256498095641044	0.0897429182682125	0	0	0.243082656529172	1.05353908398506
Sim296	0	0	0	0	0.39289970601775	0.144331171016486	0.132499401102569	0.330269721863194	0	0.262015765347162	1.04878464468655
Sim297	0.121384200225272	0	0	0.229768751040214	0.241040464410949	0.016957843593007	0.390848740730558	0	0	0.185630417250594	1.08169906802247
Sim298	0.488336960448924	0.02790446951368	0	0.129803487533101	0.0567666652255692	0	0.108123568606176	0.18906484867255	0	0.0977469421774938	1.15761516323439
Sim299	0	0	0.0724952608361366	0.164180168901618	0.399842950246835	0.107325685515444	0.0193954310529659	0.236760503447001	0	0.133262925066523	1.13917934922305
Sim300	0.368534245512621	0.20299125997929	0.135760279965558	0	0.0515132663911442	0.104649956901952	0	0.136550991249436	0	0.201358929895833	1.09951386207065
Sim301	0.108897943148108	0.0385019205074098	0.000881754869881373	0	0.607840692425988	0.128594513976113	0	0.1152831750725	0	0.137166254512475	1.14196168505303
Sim302	0.031506818263272	0.253834387040722	0.109059054776972	0.230539521046483	0	0.327324736160921	0	0.0477354827116305	0	0.0334845677975886	1.1916483973439
