Mixture	B.cell	Dendritic.cell	Macrophage	T.cell	Basophil	Monocyte	Neutrophil	NK.cell	P-value	Correlation	RMSE
Sim227	0.0725842128782126	0.0949373646962922	0	0.0798130655809065	0.666897232352357	0	0	0.0857681244922317	0	0.309507391877155	1.05262600163009
Sim228	0.37715699848555	0.185648617113855	0	0	0.206000408173465	0	0	0.231193976227129	0	0.269912135489779	1.04121847197785
Sim229	0.442116535304479	0.235284699194601	0	0	0	0.0223161503478448	0.300282615153075	0	0	0.198395302116799	1.08445321742564
Sim230	0.0329600181406609	0.0512942614829124	0.0637042849285279	0.137624158139178	0.355585486426803	0.11454090223149	0.0427442625457451	0.201546626104682	0	0.0385246308902523	1.18158127580042
Sim231	0.0745367364016073	0	0	0.435419911448368	0.258498548468896	0.123460247049506	0.108084556631624	0	0	0.107573665060686	1.15009236395128
Sim232	0	0	0.442127524360292	0.113225708049656	0	0	0.444646767590052	0	0	0.223938141993624	1.11134673415552
Sim233	0	0.186140814981481	0.0671857434836196	0.308817138421711	0.253130594278809	0	0	0.18472570883438	0	0.192626802718765	1.11935612762252
Sim234	0	0	0.00888781635750292	0.430892363488613	0	0.314215728833544	0	0.24600409132034	0	0.200850530282832	1.13001169841508
Sim235	0.767232883464563	0	0.00203015304334097	0.0238275164639769	0.206909447028119	0	0	0	0	0.286730659118241	1.04907033087571
Sim236	0	0.135081725132321	0.15801827369005	0	0.419759511351803	0.152648801757049	0.0840119576906358	0.0504797303781423	0	0.19694378749843	1.10868478107787
Sim237	0.491107551675392	0	0	0	0.0790393834824426	0	0.346943188768238	0.0829098760739275	0	0.224126369722259	1.06900940579345
Sim238	0.089960208450137	0.103228805417398	0.297800028526112	0.0274188862646764	0.235439349094286	0	0	0.246152722247391	0	-0.0312869721918034	1.22144557529619
Sim239	0.188660293131771	0.0280474715966995	0.05783551892229	0.19300904592056	0.164393589067184	0.291912715635053	0	0.076141365726443	0	0.174524623893094	1.07963961653867
Sim240	0	0.236322761297817	0	0.191254747885813	0.383021834899674	0.189400655916696	0	0	0	0.222251858533329	1.07683880373038
Sim241	0	0	0.389437413101279	0	0	0.268114565907988	0.221601577056065	0.120846443934668	0	0.151308173233174	1.12458905007835
Sim242	0	0.117321035661283	0	0.144968254775768	0.0239305161048435	0.368243708521159	0.170099223161917	0.17543726177503	0	0.113336094253293	1.13702303619854
Sim243	0	0	0.270339191567541	0.0507436863145424	0.642174384807671	0	0	0.036742737310246	0	0.155473930154186	1.16246337825156
Sim244	0.417817054414284	0.0370249885973498	0.153076001280128	0.120795466592407	0.271286489115831	0	0	0	0	0.208622955870037	1.06977281740175
Sim245	0	0	0.0407457930111666	0.0826512731757764	0.489187787064031	0	0.387415146749026	0	0	0.348340416633093	1.0725394268681
Sim246	0.0404889403936101	0.184785202186588	0.110388605741912	0.282939912527215	0	0.0929825377838341	0.288414801366841	0	0	0.0603351880372093	1.18289364600329
Sim247	0	0.00492011297206002	0.154720581037259	0.201489798538132	0.243996647207362	0.19233135961386	0.0674380259340778	0.13510347469725	0	0.187999583153435	1.08722203316531
Sim248	0.115088638967821	0.117772010888696	0.0923516556743133	0	0.184068121688963	0.342511101896233	0	0.148208470883974	0	0.185485785822696	1.07999219399785
Sim249	0.22541309054818	0	0.330808374160427	0	0.300620679527631	0.0852420444011233	0	0.0579158113626381	0	0.161172614723094	1.09353156033918
Sim250	0.241152965180195	0	0	0.168714372238887	0.0792406269893147	0.34373575236997	0	0.167156283221633	0	0.0074820329384711	1.17744121774644
Sim251	0	0.224516851131726	0	0	0.644586218315519	0.00309447697442937	0.0551911956902909	0.0726112578880349	0	0.32688881502363	1.05528037343307
Sim252	0.0136966840683757	0	0.377481792388441	0.0632791379065478	0	0.204190275332042	0.230059590281999	0.111292520022594	0	0.251564851268318	1.05966046345232
Sim253	0.395946516212271	0.189814908808842	0.0254393378586835	0.162820190828633	0.118274203511919	0	0	0.107704842779652	0	0.145332155812006	1.13889567787585
