Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	Basophil	NK.cell	T.cell	P-value	Correlation	RMSE
Sim260	0.230395318520373	0.173739419766891	0.206209959883839	0.0274479653058246	0.11674274883925	0	0.245464587683823	0	0	0.247459034506461	1.04310296906872
Sim261	0.0247272583459302	0.030596698513932	0.0815383870861935	0.0642791726396575	0.269263681402391	0.122406520862778	0.216534887660173	0.190653393488945	0	0.19376176693666	1.08202951879258
Sim262	0	0.220094790217556	0.0263292226455672	0.0991028122211629	0.156698010707737	0.20905339012937	0	0.288721774078607	0	0.313504185325871	0.996842048465712
Sim263	0	0.0639918327732249	0.155785297979008	0	0.344485516338096	0.0666828099163571	0	0.369054542993314	0	0.0865843949653313	1.14760985459644
Sim264	0	0	0.109804514702733	0.0317127280752356	0.0606990394501365	0.13770880559628	0.274602603198476	0.38547230897714	0	0.247418992206201	1.07381197650561
Sim265	0.26694073042186	0	0.0364448809920652	0.153789392870561	0.241727640577671	0	0	0.301097355137843	0	0.19066929440434	1.06584661447636
Sim266	0.0223063210545801	0.175745017209248	0.0373886795180488	0	0.195595471586644	0.411578737194325	0	0.157385773437155	0	0.0128411869042255	1.23908185262923
Sim267	0.0115867198096542	0.102832119293815	0	0	0.105866602760239	0.555995495106592	0	0.2237190630297	0	0.194542093613191	1.1275886755796
Sim268	0	0.169811985314683	0.159620193963306	0.0696244083347798	0	0.405117563043282	0	0.195825849343949	0	0.198492187296486	1.09183361957005
Sim269	0	0.354289324147859	0	0.00563334101123225	0	0.257524906397251	0	0.382552428443658	0	0.0337058918436148	1.16303438645225
Sim270	0	0.138320037911788	0	0	0.371804009575175	0.159618926591836	0	0.330257025921201	0	0.349046260073268	0.99255976086134
Sim271	0	0.173901785995238	0	0.0414315239503667	0.0929163094659392	0.414597743329887	0.184116416547941	0.0930362207106277	0	0.178806591184434	1.10369569462787
Sim272	0.0204203889079999	0.286487605292108	0	0.179168394507443	0.0079871773309176	0.213452296167485	0.292484137794046	0	0	0.254829592019054	1.04163190353188
Sim273	0	0.116021106626548	0	0.165030531951563	0.161344577694201	0.325749448471173	0.154777777416168	0.0770765578403463	0	-0.0333684240356217	1.22447716443794
Sim274	0.297012419124545	0	0.229172891090941	0.0540411208459582	0.0880399841079499	0	0.217634996558429	0.114098588272177	0	0.112237812475944	1.12165416584932
Sim275	0.267907230489843	0	0.207101691920104	0.196638313991231	0.00707565627132097	0.0367876231145044	0.0197160024648889	0.264773481748108	0	0.250871272561151	1.02989029237279
Sim276	0	0.239435323414224	0.0935550054816688	0	0.132623431379594	0.280352441291922	0.254033798432592	0	0	0.254054416638398	1.0540386042839
Sim277	0.0826393645183796	0.152135796043654	0	0.299221789485477	0.308359099845137	0	0.157643950107352	0	0	0.302687890735904	1.01894887242372
Sim278	0.0314430932896764	0	0.16598992521765	0.277340182431255	0.053362096513125	0.0985072155780234	0.156426470115322	0.216931016854948	0	0.0253885724488029	1.15219763065214
Sim279	0	0.51223989970406	0	0	0.30237042262362	0	0.18538967767232	0	0	0.212342949891361	1.09529026058408
Sim280	0.114304717981298	0.301048637771056	0	0.348809638945068	0.224776044137072	0	0	0.0110609611655063	0	-0.0622386981600395	1.28122095877235
Sim281	0.312543711419163	0.264610347940463	0.0390658971250364	0.00480487815481435	0.0990905683349034	0	0.131851888872719	0.1480327081529	0	0.17727724958303	1.08140462349339
Sim282	0	0.0934597624948726	0.312084944682546	0	0	0.322989140375803	0.103481470223397	0.167984682223381	0	0.265100292675519	1.04505709864019
Sim283	0	0.284555405462069	0.0218723271519197	0.071539685552637	0.179567262058293	0.185031758042348	0	0.257433561732734	0	0.301005010500473	1.00925747083622
Sim284	0.1310306075266	0	0.335197687903035	0.144668388274389	0	0.119293251441254	0.269810064854722	0	0	0.247909931650579	1.04991218312751
Sim285	0	0.138706867236165	0	0.105089579887205	0.0814737574843389	0.328643449839269	0	0.346086345553023	0	0.308087825097526	1.00168496655427
Sim286	0	0.00525229307049777	0.238038921263018	0.275008791533707	0	0.39102304487979	0	0.0906769492529871	0	0.180820416437034	1.13784062346514
Sim287	0	0.398147710455787	0	0.180044984490167	0	0.191946298032784	0.11938225293825	0.110478754083012	0	0.24273530855958	1.05915476413868
Sim288	0	0.257386158032293	0.0097265400228408	0.217790932290727	0	0.130700160620007	0.177773656149483	0.206622552884649	0	0.0102720179001595	1.16446597805754
Sim289	0.0352363744752835	0.431297014824152	0.0995784029303343	0	0.0586878244363541	0.258500223944857	0.00443337689667634	0.112266782492343	0	0.112297820064203	1.16068105883336
Sim290	0.153134434718022	0.0953112151277305	0.0645503323149141	0	0.164808454563172	0	0.341915303625847	0.180280259650314	0	0.0307179771088263	1.17905128746473
Sim291	0	0	0.0297894722905472	0.420327565256463	0.367736611331576	0.0453065659912215	0.136839785130193	0	0	0.0308921788042129	1.21888682165815
Sim292	0.0636686907551008	0.0552719464468272	0.00735457584279666	0.182372169610865	0	0.322318675444604	0.366268592001247	0.00274534989855944	0	0.0859238771006914	1.14627398911754
Sim293	0.0539978284479602	0.175056249385145	0	0.210768350502825	0	0.287625659949598	0	0.272551911714472	0	0.233268581077133	1.04562744558931
Sim294	0.168631050552609	0.109968530784198	0.247993149789697	0.438253424661173	0	0	0.0351538442123224	0	0	0.310645326068804	1.0493977854891
