Mixture	B.cell	Dendritic.cell	Macrophage	Neutrophil	NK.cell	T.cell	Basophil	Monocyte	P-value	Correlation	RMSE
Sim36	0.337611048578491	0	0.590643980763912	0.0106671488131882	0.0610778218444094	0	0	0	0	0.165771605489288	1.16547354151953
Sim37	0.131756326991834	0.0287185978327989	0.161860071950277	0.0572602789454933	0.281181732407957	0.163118571551296	0.176104420320343	0	0	0.258713860613556	1.07496414532467
Sim38	0	0.196688464159188	0.383795206664872	0.153966481144484	0.265549848031456	0	0	0	0	0.239537956557314	1.11711542858578
Sim39	0.0113908030511249	0.100793665945943	0.410738129623782	0	0	0	0	0.47707740137915	0	0.101232560317367	1.15165937108522
Sim40	0.279441828634494	0.0396341867042141	0.163233454590753	0.136188592073256	0.0556391693089809	0.0130008348978912	0.312861933790411	0	0	0.144220951751017	1.13620720965096
Sim41	0.0948956539963865	0.290282744025431	0.467013044365595	0	0.0857767690336711	0	0	0.0620317885789164	0	0.126683621725466	1.17263792544014
Sim42	0	0.0685855480995207	0.0744300726300423	0.272913948326037	0.392985154890424	0.142075818970648	0	0.0490094570833273	0	0.264034472521639	1.12231915973296
Sim43	0.124910942955439	0.0800259439973839	0	0.118135591783396	0.261811227388499	0.350948045672737	0.0641682482025455	0	0	0.12239879153159	1.2137299071009
Sim44	0	0	0.207913170023558	0.184984400441924	0	0.395699466630626	0.211402962903892	0	0	0.0499681593507767	1.22714389184329
Sim45	0.0213913847987845	0.23639276118641	0.247032301903078	0	0.17131344468199	0	0.279764827170347	0.04410528025939	0	0.144303585947717	1.1151432844098
Sim46	0.0625041444814769	0.0723679450978271	0	0.31782756856674	0.193781164569384	0.300087660454946	0	0.0534315168296254	0	0.192886238086952	1.16344459895421
Sim47	0	0.00119350424529439	0.377325489925938	0	0.0843494208537718	0.151319358451315	0.234989742882686	0.150822483640995	0	0.167804698366759	1.10146703621567
Sim48	0	0	0.139118643573511	0	0.0281035976259768	0.441960472361589	0.124065522166971	0.266751764271952	0	0.161092577209198	1.11849304570591
Sim49	0.204229615395425	0	0.0271302165424778	0	0.370914661683058	0	0.181305087209558	0.216420419169482	0	0.247293578672994	1.05623822967811
Sim50	0	0.0613243264604064	0.607156183601752	0.20005652051861	0.131462969419232	0	0	0	0	0.183752986323828	1.15785188789426
Sim51	0.114125882131598	0	0.412566259887571	0.101619275021546	0.333805789564659	0	0.0378827933946275	0	0	0.247066938861982	1.10393034918642
Sim52	0	0.0664206698544115	0.642967261584015	0.084128671640476	0	0	0.150477289324374	0.0560061075967236	0	0.204414341694497	1.10925246057861
Sim53	0	0.274357884053644	0.234958303487828	0	0.324112202569701	0	0.0567275958401082	0.109844014048719	0	0.196753355093203	1.11355079331539
Sim54	0.10591368410437	0.308447546547538	0	0.340676817157314	0.00719395730510687	0.0709555125319701	0	0.166812482353701	0	0.163177587812364	1.15193752213912
Sim55	0	0.25979647695842	0.217137154387101	0.106778803213375	0.189679531369545	0	0.226608034071559	0	0	0.220671762086862	1.08399352211006
Sim56	0	0	0.344723293628979	0.256509653309752	0.258467696754207	0	0.140299356307062	0	0	0.246339534767365	1.09246270539888
Sim57	0	0	0.342106071595602	0.0313303915049316	0.32239162496723	0.151034638300834	0.153137273631403	0	0	0.173668245059586	1.1446408859656
Sim58	0.188256680649366	0	0.0424320331933735	0.129566796879761	0.00801468821022242	0.184535884811044	0	0.447193916256233	0	0.15207058596343	1.11716919782364
Sim59	0.0701563776118007	0.173060904181154	0	0.18714652913778	0.276680454768823	0	0.292955734300441	0	0	0.160167716010911	1.12864094907991
Sim60	0.0897794338733355	0.086426628508067	0.505662310961021	0	0.189689253489607	0	0.128442373167969	0	0	0.196473280294313	1.10902808244881
Sim61	0.120101079175802	0.103984678064523	0	0.0485709196186445	0.0809173381979154	0.25425306309375	0.392172921849366	0	0	0.126951818214008	1.14420208099647
Sim62	0	0	0.775222311314529	0.0379922319539481	0	0	0.186785456731523	0	0	-0.0254850027442403	1.25905415346533
Sim63	0.0369620405319562	0.104135813023827	0	0.283055707150601	0.364530111904139	0	0	0.211316327389477	0	0.269522135727268	1.07460623646786
Sim64	0	0.2322116247467	0.23555195088029	0.109617010394363	0	0.18349724825016	0.233610084759143	0.00551208096934444	0	0.20117981339077	1.10768501459825
Sim65	0	0.0290636685939446	0.0198882310517981	0.130774445307668	0.302223146477898	0.389161249463147	0	0.128889259105545	0	0.01220485707345	1.28844200223702
Sim66	0.0866819560695397	0	0.446764679932437	0.225138287182062	0.122127499246168	0	0.119287577569793	0	0	0.219543158892699	1.10638444476773
