Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim34	0	0.109084407289225	0.324972538626686	0.470607633047566	0	0	0.0953354210365228	0	0	0.153184161327444	1.21272919772149
Sim35	0.105943830361137	0.252763728764461	0.0137939894963834	0.00448190749408208	0.0618076809278112	0.234280893416176	0	0.326927969539949	0	0.295648009772917	1.03045217867408
Sim36	0.355588883869305	0	0.268207678129878	0	0.0536756130899831	0.289375244995253	0.0331525799155804	0	0	0.230932455707388	1.1373811004053
Sim37	0.412239863192033	0	0.119673961692318	0.153863316333632	0.156458446708196	0	0	0.157764412073821	0	0.103326571837991	1.17571870626617
Sim38	0.167754643390228	0.240848991632745	0	0.0817436710642246	0.207957742834291	0.301694951078511	0	0	0	0.252200736898963	1.11235220454261
Sim39	0.24422191507581	0.40521859635756	0.0656567586515048	0	0.077380445638045	0.207522284277081	0	0	0	0.171672757284827	1.17169348621103
Sim40	0.0217451473359105	0.369881661112356	0	0.045131583654416	0	0.123353688941794	0.0951354466180503	0.344752472337472	0	0.282467321772019	1.0329834882047
Sim41	0	0.0901661521849932	0	0.397340718282383	0.336027076434513	0.150311488726571	0	0.02615456437154	0	0.219747681298914	1.15231306395191
Sim42	0	0	0.00222603624244769	0.0319587498227947	0.0460816649862284	0.170683166059832	0.268476757588385	0.480573625300312	0	0.338133753799037	1.0005346895411
Sim43	0.361527915708947	0.0136829660483843	0.0103015583345154	0	0.143525541093846	0.242886091897679	0	0.228075926916628	0	0.235763563841448	1.08454004161092
Sim44	0.330047865710302	0	0	0.143662587675602	0	0.187701455921911	0.0189325191688878	0.319655571523297	0	0.0393871665846776	1.18850138640357
Sim45	0.1483276110356	0.242412156214929	0.267636599137622	0.129263954271151	0	0	0	0.212359679340698	0	0.176241863667178	1.11930579145261
Sim46	0.302802898857653	0.208567758503113	0	0.216997243785436	0	0.108223282377694	0	0.163408816476104	0	0.0307251880236366	1.21456864077783
Sim47	0	0	0.0620214038448859	0.126165254373884	0	0.000523258209760382	0.292094497513848	0.519195586057622	0	0.35223052717803	0.989021833550589
