Mixture	B.cell	Dendritic.cell	Macrophage	Neutrophil	T.cell	Basophil	Monocyte	NK.cell	P-value	Correlation	RMSE
Sim115	0	0	0.206446284543314	0.242800147802203	0.0588133247769941	0.0571025272879202	0.198064031068681	0.236773684520888	0	0.0522167206818136	1.15209955026443
Sim116	0.485193322052235	0.278213369066404	0	0.0239928501781214	0.0448824568114402	0.0446786717373931	0.0346495586696275	0.0883897714847793	0	0.510857907822892	0.875605405800252
Sim117	0	0	0.187414786746852	0.569539969957862	0	0	0.0958637920084386	0.147181451286847	0	0.359989061105155	1.00325102703352
Sim118	0.22652129357739	0.120592256665971	0.0496749552603252	0.0464309231562457	0	0.407529735732213	0	0.149250835607855	0	0.123780456412295	1.10020931697106
Sim119	0.327798574562431	0	0	0.153982904894251	0.167886468141381	0.0582932964327906	0.211335424203345	0.0807033317658013	0	0.0674792167074526	1.08322989941403
Sim120	0.0135934272535361	0	0.0453546849161441	0.584675662032221	0.141950415771367	0.0133293590025186	0.201096451024213	0	0	0.338820261330519	1.01236924521533
Sim121	0.158786362639401	0.257709481056377	0.0659882972939193	0	0	0.280594276128922	0	0.236921582881381	0	0.139703798220715	1.09267700943762
Sim122	0.201686337069354	0.205551350185253	0.0854101278390892	0.1426714333069	0.125683710463268	0.0891859611616855	0	0.149811079974449	0	0.133257340018603	1.07043412558858
Sim123	0	0.196994958669525	0.0279275342030911	0	0.417925860205805	0.18717896981381	0	0.169972677107769	0	0.340537441196199	1.00584190704291
Sim124	0	0	0.245640310559575	0.31056867270453	0	0	0.289530454998668	0.154260561737228	0	0.320569845964996	1.00156591484886
Sim125	0	0	0.152930261336385	0.39286703243576	0.101441217057992	0.0340492874910775	0.224346876360191	0.0943653253185941	0	0.260740641409469	1.03210576138751
Sim126	0.53031081642813	0.0582036304848927	0.0476048279303237	0	0.222355195598205	0.132180137894083	0.00934539166436575	0	0	0.30040900697777	0.994874942070095
Sim127	0.617410326796377	0.0193709084689171	0.144229398635974	0.0825278014870271	0	0.0529569101439453	0	0.0835046544677596	0	0.100488333121726	1.11696947935162
