Mixture	B.cell	Dendritic.cell	Eosinophils	Macrophage	Mast.cell	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim76	0.283721788499554	0.0121743632116822	0.292665458332319	0	0	0	0	0	0.16864594827598	0.242792441680464	0	0.244444621099254	1.11015972366376
Sim77	0	0.104847661373215	0.0978750665878592	0.23544452909629	0	0	0.346403108713893	0.150715506375038	0	0.0647141278537055	0	0.302421090707686	1.08251321340898
Sim78	0	0.113851752507705	0.155522919619466	0	0.0805575952513707	0.168320224555545	0.307653939952831	0.167291882588781	0.0068016855243014	0	0	0.193604094066902	1.14305512418962
Sim79	0	0.0200189829545628	0.034038211482481	0.0745132868273848	0	0	0.363863427744628	0.131254501588326	0	0.376311589402617	0	0.21080869905042	1.1948096436932
Sim80	0.393845879799746	0.0910838576229397	0.0407116294155915	0.0615909547685058	0	0	0.162048753087398	0.182389055157951	0	0.0683298701478691	0	0.0878854043306267	1.21831521454435
Sim81	0.0932147519377742	0.0391702449958528	0.113242311281708	0	0	0.266434973624891	0.083423104073143	0.0855349575173428	0	0.318979656569288	0	0.294321301111602	1.08945825095782
Sim82	0	0.0744936498156874	0.149643619563049	0.118170417288603	0.205817660669986	0.205141961822871	0	0.108154660173914	0.0578225288149277	0.0807555018509625	0	0.0908618060695129	1.19348950454782
Sim83	0	0	0	0	0.274486486807956	0.407130446419132	0.172153340000789	0.077685576846818	0.0685441499253046	0	0	0.111705719052789	1.19894269536687
Sim84	0.132640287963934	0.0982230813569115	0.116034061376398	0	0	0	0.16632015256308	0	0.0651188983125571	0.42166351842712	0	0.249143536123901	1.15120354454484
Sim85	0.242388436231741	0	0.121272359188156	0	0	0.174382950329516	0	0.00444935674831625	0.203267329279289	0.254239568222982	0	0.235778015150284	1.11446756289641
Sim86	0	0.21664090070036	0.080901937783658	0.0650532858832218	0	0.11417341115394	0.0526278758781703	0	0.131995189355547	0.338607399245104	0	0.226188186205185	1.14575790554765
Sim87	0.0418769156243505	0	0.171838397496	0	0.0439815056173705	0.173778803534859	0	0.0154309782331029	0.220573333031963	0.332520066462354	0	0.240805895015293	1.11684995861474
Sim88	0.0412314303028355	0	0	0.509106865420704	0.0648610531930636	0	0	0.321627353563912	0.0631732975194854	0	0	0.344706272602608	1.03605650546129
Sim89	0.039040198584657	0	0.215508540200827	0	0.0284537146979103	0.247703222290022	0	0.0814318762764004	0.119807926404328	0.268054521545855	0	0.355711122371757	1.02550830931556
Sim90	0	0.0151488329377098	0.111891026582621	0	0	0.159922079990082	0.487314144623857	0.00825304227206118	0.217470873593669	0	0	0.253448555662806	1.12943442987003
Sim91	0.0640354085547085	0	0.454515389281114	0.0215030107809562	0	0.0587533348720178	0.142787270989189	0.0921404757073268	0.166265109814687	0	0	0.196217174725278	1.13845934093911
Sim92	0.18185262498595	0.0266564354354754	0.220351932137872	0	0.0455197247961136	0.0204846867284068	0.0126309382442465	0	0.125328916254481	0.367174741417456	0	0.282841804631185	1.09542190433581
Sim93	0.240981915360577	0	0	0	0.108664633527138	0.325016204066321	0.0202534984018368	0.15020915665579	0.0604818332362575	0.0943927587520802	0	0.380953514558873	0.99696084262109
Sim94	0	0	0.125661487269643	0.19938828414266	0.252615040264044	0.276611290064149	0	0.0699291499311766	0.0757947483283267	0	0	0.362185332933705	1.00871642975719
Sim95	0.0807783474994618	0	0.363948125471761	0	0.22328660172445	0	0	0	0.22939371314051	0.102593212163817	0	0.162936870008318	1.15692784415944
Sim96	0.0576464645800943	0	0.0902343527434691	0.188071817221554	0.000165284666932622	0.19193241124209	0	0.0124782979678577	0.208019313464212	0.25145205811379	0	0.191782815241931	1.14906592472955
Sim97	0	0	0.107787949439874	0	0	0.222665812836965	0.542820599982795	0.0815461511435017	0.0451794865968646	0	0	0.273742749001256	1.11672966688908
Sim98	0	0	0	0.562154136993749	0.0514508018359811	0.206152931582661	0.0983995104933882	0.0435886067221168	0.0382540123721042	0	0	0.157197938604023	1.17446288078922
Sim99	0.227732813931661	0	0.0201848956790118	0.330981541824653	0.0133858265542669	0.196200769911887	0.0119200501354555	0.0731421612139064	0.126451940749157	0	0	0.332461843168995	1.03593353977634
Sim100	0	0	0	0.36907382340529	0.0931409585935011	0.214332419384135	0	0.15240300396971	0.0417443575051035	0.129305437142261	0	0.249099732844654	1.0983161243664
Sim101	0	0	0.0057614570452439	0.206371584733282	0	0	0.190767571632348	0	0.143144658421408	0.453954728167719	0	0.365742861049271	1.07174689265011
Sim102	0	0	0.287217021298402	0	0	0.109968427134653	0.10900430971533	0.0196668525339854	0.158569022873187	0.315574366444442	0	0.296040826827179	1.08994448442049
Sim103	0.120946307564043	0	0.235498554087519	0.413587099892304	0	0	0.0177539027595781	0.104107963652976	0	0.10810617204358	0	0.249149758068242	1.10280368250486
Sim104	0	0	0.30902820009942	0.354246422530479	0.0567997522529214	0	0.0752848052906357	0.0899650541231558	0	0.114675765703388	0	0.292693672939091	1.07743633532821
Sim105	0	0.100366039235046	0	0	0.0799667839881358	0.138384291192159	0.133187288765653	0.103993053329478	0.0775557256545657	0.366546817834963	0	0.28513059348871	1.10395430902317
Sim106	0.201945935295071	0.000717433486809663	0.178095582308351	0	0	0	0	0.448815149889457	0	0.170425899020311	0	0.465731484382208	0.955412496652842
Sim107	0.123981635303549	0.0351630570462622	0.422146837036996	0	0.027880407494168	0	0	0.0844316575569024	0.0933224832341721	0.21307392232795	0	0.15586684222518	1.17211570525167
Sim108	0.199985755542467	0	0.218380326638006	0	0.00180984671491071	0.216344621219746	0.238835738380271	0.124643711504598	0	0	0	0.27796370159804	1.08070623036195
Sim109	0.0506003906165945	0.0968183436824054	0	0.138674724409344	0.108983104706514	0	0	0.15914706400828	0.0908726136583422	0.35490375891852	0	0.401985132182306	0.999848562044892
Sim110	0.119132116304839	0	0.17745660913695	0	0.0980395667665826	0.142278055249	0.227328877317378	0	0.169065714935626	0.0666990602896241	0	0.240974369861324	1.11098591637083
Sim111	0.207656116845326	0.369770970447359	0.109610130565345	0	0.0746770796965445	0.0670447617650729	0	0	0.0949730719725501	0.0762678687078029	0	0.312513099449467	1.06140989581475
Sim112	0.26918133468502	0	0.0530643764451868	0	0.120099512480127	0.234365303125017	0.0646961062631707	0.0921724439947496	0.0875770597917395	0.0788438632149897	0	0.327656026278928	1.03693371526234
Sim113	0.036613642676945	0.0755533366408687	0.279589527740645	0	0.114239287598226	0	0.0543149281768501	0.182425051180461	0	0.257264225986004	0	0.331831830157387	1.05046555459053
Sim114	0	0	0.0660808656338876	0.237431053595103	0.00389201824673856	0.0161983420702792	0.220766632719836	0.24454142563404	0	0.211089662100116	0	0.328227845170254	1.06448638157401
Sim115	0	0.000997507825478977	0.0393823691550718	0.336681492347672	0	0	0	0	0.289609617784557	0.33332901288722	0	0.34204415267357	1.05681895695897
Sim116	0	0.0366330891719587	0.350502484545352	0.301611425337772	0.0712948809560049	0	0.106636118084108	0.0181345272739088	0.032067334852179	0.0831201397787165	0	0.404820209854738	0.996161153311586
Sim117	0	0	0	0.546434883438067	0.0072884390343671	0	0.149604852873658	0.153697622704512	0.0925050453109182	0.0504691566384786	0	0.497955441914442	0.917424302752123
Sim118	0.0206697986152053	0	0	0.333146798999122	0.181162189478023	0.229602803471425	0.054811135295287	0.180607274140938	0	0	0	0.0446580594367066	1.22753857072081
Sim119	0	0.033777245399442	0.166193329682646	0.419223201070322	0.0805327329015924	0	0	0.123371288349941	0.022376145149654	0.154526057446403	0	0.384519313968502	1.0005892145664
Sim120	0	0.244854893910273	0.102132685111552	0	0.111987781385374	0	0.193435619171826	0.0456097434683133	0.0581650419452068	0.243814235007455	0	0.0343881770579508	1.27582845457165
Sim121	0.0246542236705695	0.117178865475126	0.21551238321279	0.1176650387773	0.00364158515437375	0	0	0.180553395709787	0.0265444092065138	0.314250098793541	0	0.209556324531157	1.14093081925502
Sim122	0	0.142601580339946	0.120034811056165	0	0	0.0602773815527418	0.193090879272979	0.136144130359048	0.0643792925767916	0.283471924842328	0	0.192239828729657	1.16595230776737
Sim123	0	0.114386009522054	0.437701789948062	0	0.0416043717549376	0.0204700029906499	0	0.0385282641717715	0	0.347309561612525	0	0.313643830110866	1.09182186255798
